va,organism,molregno,tid,canonical_smiles,pref_name,chembl_id
[15.1],Oryctolagus cuniculus,128054,17056,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCN2C(=O)c3ccccc3S2(=O)=O)C1c1cccc([N+](=O)[O-])c1,,CHEMBL78790
[0.06683],Cavia porcellus,1479017,106600,CCc1nc(Cl)c(C2C(C(=O)OCCCc3ccccc3)=C(C)NC(C)=C2C(=O)OCCCc2ccccc2)[nH]1,,CHEMBL2261189
[2420.0],Homo sapiens,2296759,169,CC(C)(C)c1ccc(CC(=O)Nc2ccn(Cc3ccc(C#N)cn3)n2)cc1,,CHEMBL4218608
[100000.0],Rattus norvegicus,39809,10514,CCCN(c1ccncc1)n1ccc2ccccc21,BESIPIRDINE,CHEMBL29835
[410.0],Oryctolagus cuniculus,1568929,17056,COC(=O)C1=C(C)OC(N)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,,CHEMBL2398408
[23000.0],Oryctolagus cuniculus,1560441,17056,C[C@H]1CCC[C@@H]1N1C(=O)CC(=O)N(CCc2ccc(Cl)cc2)C1=O,,CHEMBL2381036
[19000.0],Homo sapiens,565720,169,O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3cccnc3)no2)CC1,,CHEMBL564757
[13000.0],Homo sapiens,2068913,169,O=C(Cn1cnc2ccccc2c1=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1,,CHEMBL3764774
[30000.0],Homo sapiens,2471194,169,C[C@@H]1C[C@H]1C(=O)N1CCN(c2cnc(C#N)c(-c3cnn(C)c3)n2)C[C@H]1C,,CHEMBL4634634
[800.0],Cavia porcellus,666,106600,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,TROGLITAZONE,CHEMBL408
[33000.0],Homo sapiens,2293986,169,CC(CC(=O)O)c1cccc(-n2c(C(N)=O)cc3ccc(OC(F)(F)F)cc32)n1,,CHEMBL4215835
[2511890.0],Homo sapiens,154051,169,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,AMBRISENTAN,CHEMBL1111
[3070.0],Oryctolagus cuniculus,1568928,17056,CC1=C(C(=O)OC(C)C)[C@H](c2cccc([N+](=O)[O-])c2)N(C(=O)OC(C)C)C(=O)N1,,CHEMBL2398407
[23400.0],Oryctolagus cuniculus,1560296,17056,CC(=O)O[C@@H]1CCC[C@@H]1N1C(=O)CC(=O)N(CCc2cccc(Cl)c2)C1=O,,CHEMBL2380893
[10700.0],Oryctolagus cuniculus,1568934,17056,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)NC(=S)N1,,CHEMBL2398413
[15.0],Oryctolagus cuniculus,627252,17056,C=CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,,CHEMBL1098209
[100000.0],Homo sapiens,2475686,169,COCc1nc2cnc3cc(-c4c(C)noc4C)c(OC[C@H]4CCNC4)cc3c2n1[C@H](C)c1ccccc1,GSK778,CHEMBL4639128
[30000.0],Homo sapiens,2050893,169,CCS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,,CHEMBL3735281
[100000.0],Oryctolagus cuniculus,1560428,17056,O=C1CC(=O)N([C@@H]2C[C@@H]3CC[C@H]2C3)C(=O)N1CCc1cccc(Cl)c1,,CHEMBL2381023
[403.0],Homo sapiens,1959798,169,CO[C@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)C(C)C)[C@@H](C(C)C)c2ccc(F)cc21,,CHEMBL3608940
[420.0],Oryctolagus cuniculus,1568917,17056,CSC1=NC(c2cccc([N+](=O)[O-])c2)C(C(=O)OC(C)C)=C(C)N1,,CHEMBL2398396
[30000.0],Homo sapiens,2050897,169,N[C@H]1C[C@@H](N2Cc3cn(S(=O)(=O)C4CC4)nc3C2)CO[C@@H]1c1cc(F)ccc1F,,CHEMBL3735329
[31.0],Oryctolagus cuniculus,627322,17056,COC(=O)C1=C(C)NC(C)=C(C(=O)OCc2cccs2)C1c1cccc([N+](=O)[O-])c1,,CHEMBL1098804
[5540.0],Oryctolagus cuniculus,1568919,17056,COC(=O)N1C(SC)=NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,,CHEMBL2398398
[33500.0],Cavia porcellus,308699,106600,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,TERODILINE,CHEMBL363295
[2450.0],Oryctolagus cuniculus,1568921,17056,CNC1=NC(C)=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)N1C(=O)OC,,CHEMBL2398400
[1000000.0],Oryctolagus cuniculus,6723,17056,CCN(CC)CC(=O)Nc1c(C)cccc1C,LIDOCAINE,CHEMBL79
[69200.0],Cavia porcellus,1972678,106600,COc1ccc(S(=O)(=O)NCc2cc(CN3CCCC3)c(O)c(CN3CCCC3)c2)cc1,SULCARDINE,CHEMBL3638051
[2.661],Cavia porcellus,1479027,106600,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCc2ccccc2)C1c1[nH]c(CC)nc1Cl,,CHEMBL2261199
[10.0],Oryctolagus cuniculus,626738,17056,CCOC(=O)C1=C(C)NC(CCl)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,,CHEMBL1094406
[640.0],Oryctolagus cuniculus,1568942,17056,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)N(C(=O)OC(C)C)C(=O)N1,,CHEMBL2398421
[100.0],Oryctolagus cuniculus,627515,17056,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCC(c2ccccc2)c2ccccc2)C1c1cccc([N+](=O)[O-])c1,,CHEMBL1097472
[3590.0],Oryctolagus cuniculus,36662,17056,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,CARVEDILOL,CHEMBL723
[170.0],Oryctolagus cuniculus,1560412,17056,COC(=O)C1=C(C)NC(=S)N(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,,CHEMBL2381007
[41700.0],Homo sapiens,618127,169,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,PROPIVERINE,CHEMBL1078261
[112.0],Oryctolagus cuniculus,626911,17056,COC(=O)C1=C(C)NC(C)=C(C(=O)OCc2ccc(OC)c(OC)c2)C1c1cccc([N+](=O)[O-])c1,,CHEMBL1099070
[100000.0],Homo sapiens,2772943,169,O=c1ccc2c([C@@H](O)CNCCCCO)ccc(O)c2[nH]1,,CHEMBL5201712
[1.66],Cavia porcellus,1471749,106600,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cnc(SC)n1Nc1ccccc1,,CHEMBL2236232
[0.5433],Cavia porcellus,1479023,106600,CCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1[nH]c(CC)nc1Cl,,CHEMBL2261195
[20000.0],Homo sapiens,1347612,169,Cc1cc(C(=O)O)ccc1-c1ccc(N2C(=O)N(c3ccncn3)C3(CCN(Cc4ncccc4C)CC3)C2=O)cc1,,CHEMBL2041193
[6600.0],Rattus norvegicus,1972681,10514,COc1ccc2c(c1OC)[C@@H]1Cc3cc4c(cc3[C@H](C2)N1C)OCO4,,CHEMBL3638054
[1.069],Cavia porcellus,1479026,106600,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC2CCCCC2)C1c1[nH]c(CC)nc1Cl,,CHEMBL2261198
[63.1],Cavia porcellus,1474104,106600,CCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCCC)C1c1[nH]cnc1Cl,,CHEMBL2238563
[3400.0],Oryctolagus cuniculus,1560311,17056,O=C1CC(=O)N(C2CCCC2)C(=O)N1CCc1ccc(Cl)c(Cl)c1,,CHEMBL2380907
[110.0],Homo sapiens,365248,169,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,NIMODIPINE,CHEMBL1428
[10.0],Oryctolagus cuniculus,627035,17056,COC(=O)C1=C(C)NC(C)=C(C(=O)OC2C=CCCC2)C1c1cccc([N+](=O)[O-])c1,,CHEMBL1095558
[10000.0],Rattus norvegicus,1562123,10514,C[C@@H]1CN(Cc2ccc(F)cc2)[C@H](Cc2ccccc2)CN1S(=O)(=O)c1ccc(C(F)(F)F)cc1,,CHEMBL2385367
[50000.0],Homo sapiens,2547731,169,CCn1c(-c2cnc(C)nc2)nc2c(N[C@H]3CCN(C(=O)C4CC4)C3)ncnc21,,CHEMBL4853960
[15000.0],Oryctolagus cuniculus,1560420,17056,CCC1CCC(N2C(=O)CC(=O)N(CCc3cccc(Cl)c3)C2=O)C1,,CHEMBL2381015
[30000.0],Homo sapiens,2355361,169,CCNC1=N[C@@H]2[C@@H](F)[C@H](O)[C@@H](CO)O[C@@H]2S1,,CHEMBL4448352
[500000.0],Cavia porcellus,1480075,106600,CC1=C(C(=O)OCCc2ccccc2)C(c2csc(-c3ccc(Cl)cc3)n2)C(C(=O)OCCc2ccccc2)=C(C)N1,,CHEMBL2262237
[3600.0],Cavia porcellus,1972658,106600,Cc1cc2c(OCC(O)CN3CCN(C(c4ccccc4)c4ccccc4)CC3)cccc2[nH]1,,CHEMBL3638031
[5.1],Oryctolagus cuniculus,127770,17056,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCN2C(=O)c3ccccc3S2(=O)=O)C1c1cccc(Cl)c1Cl,,CHEMBL432933
[28000.0],Homo sapiens,2190269,169,CO[C@H]1C[C@H](Oc2cc(F)c(F)c(-c3ccc4c(c3)CC[C@H](CCC(=O)O)O4)n2)C1,,CHEMBL3980898
[16400.0],Oryctolagus cuniculus,1560304,17056,O=C1CC(=O)N(C2Cc3ccccc3C2)C(=O)N1C1CCCC1,,CHEMBL2380900
[1100.0],Rattus norvegicus,72035,10514,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,MIBEFRADIL,CHEMBL45816
[1810.0],Oryctolagus cuniculus,1568920,17056,CNC1=NC(C)=C(C(=O)OC)C(c2cccc([N+](=O)[O-])c2)N1C(=O)OC(C)C,,CHEMBL2398399
[6300.0],Homo sapiens,2178867,169,COCCOc1ccc(C2(CCO)CC(c3ccccc3)=NN2C(=O)Nc2ccc(F)cc2)cc1,,CHEMBL3969496
[8500.0],Oryctolagus cuniculus,1560290,17056,CC(C)OC(=O)[C@H]1CC[C@@H](N2C(=O)CC(=O)N(CCc3cccc(Cl)c3)C2=O)C1,,CHEMBL2380887
[199526.0],Homo sapiens,33667,169,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,ALFUZOSIN,CHEMBL709
[398107.0],Homo sapiens,44920,169,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,TADALAFIL,CHEMBL779
[100000.0],Oryctolagus cuniculus,1560449,17056,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](N1C(=O)CC(=O)N(CCc3ccc(Cl)cc3)C1=O)C2,,CHEMBL2381044
[60000.0],Cavia porcellus,315827,106600,CCCC(=O)N1CCCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,BUNAZOSIN,CHEMBL188185
[30000.0],Homo sapiens,1146318,169,CC#CC(CC(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1,,CHEMBL1777861
[30000.0],Homo sapiens,2068915,169,O=C(Cn1cnccc1=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1,,CHEMBL3764950
[180.0],Rattus norvegicus,225985,10514,COc1ccc(OCCN(C)CCCN2C(=O)CSC2c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc1OC,,CHEMBL423535
[400000.0],Cavia porcellus,1480076,106600,CC1=C(C(=O)OC(C)c2ccccc2)C(c2csc(-c3ccc(Cl)cc3)n2)C(C(=O)OC(C)c2ccccc2)=C(C)N1,,CHEMBL2262238
[2500.0],Rattus norvegicus,54742,10514,O=C1c2ccccc2-c2c3c(cc4ccnc1c24)OCO3,LIRIODENINE,CHEMBL37736
[5000.0],Rattus norvegicus,1972667,10514,CC(C)[C@@H](NC(=O)NC1CCN(CCc2ccccc2)CC1)c1ccc(F)cc1,,CHEMBL3638040
[20000.0],Cavia porcellus,13494,106600,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,CLOTRIMAZOLE,CHEMBL104
