va,organism,molregno,tid,canonical_smiles,pref_name,chembl_id
[13000.0],Homo sapiens,2757398,165,CCOc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3ccc(C)n3)[C@H](C)C2)cn1,,CHEMBL5186167
[3500.0],Homo sapiens,2272854,165,COc1nc2ccc(/C=N/O)cc2cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,,CHEMBL4169823
[30000.0],Homo sapiens,2469560,165,FC(F)(F)c1nn(-c2ccc(Cc3nc[nH]n3)cc2)cc1-c1ccc2cc[nH]c2c1,,CHEMBL4633000
[5151.52],Homo sapiens,364055,165,CN(Cc1ccc(-c2ccccc2)cc1)C(=O)N1CCC[C@H]1CN1CCCC1,,CHEMBL216666
[50.12],Homo sapiens,1420299,165,CCCCN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2cnccc2c1=O,,CHEMBL2146806
[3200.0],Homo sapiens,2358417,165,COc1nc(N[C@@H](C)c2cc3cc(Cl)ccc3[nH]c2=O)ncc1C#N,,CHEMBL4451408
[155000.0],Homo sapiens,2730376,165,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5ccc(Oc6ccccn6)nc54)CC3)nc2N1,,CHEMBL5085925
[30000.0],Homo sapiens,2143075,165,O=C(O)COC[C@H]1CC[C@H](COC(=O)N(c2ccccc2)c2cccc(F)c2)CC1,,CHEMBL3933704
[100000.0],Homo sapiens,2502476,165,COC[C@H]1CN(C2CCN(c3nc(N)n[nH]3)CC2)[C@@H](Cc2ccc(Cl)cc2)CO1,,CHEMBL4755139
[29.96],Homo sapiens,2295360,165,CCCCCCn1c(NC2CCN(CCc3ccc(OC)cc3)CC2)nc2ccccc21,,CHEMBL4217209
[3619.0],Homo sapiens,2072939,165,COc1cccc(-c2c[nH]c([C@H]3Cc4c([nH]c5ccccc45)[C@](c4cnn(C)c4)(c4noc(C)n4)N3)n2)n1,,CHEMBL3774684
[501.19],Homo sapiens,436088,165,CCc1nc2cc3c(c(C)c2o1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,,CHEMBL401752
[32000.0],Homo sapiens,1342501,165,C[C@H]1COCCN1c1cc(CS(C)(=O)=O)nc(-c2ccc3[nH]ccc3c2)n1,,CHEMBL2030446
[33000.0],Homo sapiens,1511970,165,N#Cc1cccc(NP(=O)(c2ccccc2)c2ccccc2)c1,,CHEMBL2312919
[20000.0],Homo sapiens,562579,165,CSc1ccccc1C(=O)N(CC1CCC1)[C@H]1CCNC1,,CHEMBL564059
[9800.0],Homo sapiens,326381,165,O=C(c1ccccc1OCc1csc(-c2ccc(Cl)cc2)n1)N1CCCC1,,CHEMBL195235
[60000.0],Homo sapiens,2215336,165,Cc1c([C@@H](O)CN2CCC3(CC2)OCCN(c2ccc(=O)n(C)n2)C3=O)ccc2c1COC2=O,,CHEMBL4075425
[11000.0],Homo sapiens,1274584,165,CCN(CC)C(=O)c1ccc([C@H](c2cccc(NC(=O)C3CC3)c2)N2CCN(Cc3ccc(F)cc3)CC2)cc1,,CHEMBL1939737
[3501.0],Homo sapiens,560906,165,O=C(c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1)N1Cc2ccccc2C1,,CHEMBL551613
[1000.0],Homo sapiens,2249,165,CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,GF-109203,CHEMBL7463
[23000.0],Homo sapiens,1559857,165,COc1ccc(C2(c3cccc(-c4cncnc4)c3)CCC(N)=N2)cc1,,CHEMBL2380458
[2500.0],Homo sapiens,448069,165,O=C1NCCc2nc(-c3ccc(CN4CCC(c5nnc(-c6ccccn6)[nH]5)CC4)cc3)c(-c3ccccc3)cc21,,CHEMBL446134
[54230.0],Homo sapiens,2766128,165,C[C@]1(CF)C(=N)N[C@](C)(c2nc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS1(=O)=O,,CHEMBL5194897
[60000.0],Homo sapiens,1953461,165,COc1cccc2c1nc(N)n1nc(CN3CCN(c4sc(C)nc4C)C[C@H]3C)nc21,,CHEMBL3596517
[19952.6],Homo sapiens,405775,165,O=C(c1ccc(F)cc1)N1CCN(c2ccc(OC3CCN(C4CCCC4)CC3)cc2)C(=O)C1.O=CO,,CHEMBL239963
[1700.0],Homo sapiens,375231,165,C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cncn4)ccc2-3)cs1)COc1ccccc1,,CHEMBL224918
